CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,750,"5,955.35","6,219.30",750,"35,500.00","1,800",2.90,2.95,725,-0.35,2.95,46.99,"71,351","7,407","14,836",
,1,-,-,-,"5,525.00",-,550,"5,472.65","5,670.90",750,"36,000.00",650,3.00,3.20,"2,450",-0.30,3.20,43.63,"44,384","4,694","7,164",
,-,-,-,-,-,-,750,"4,975.85","5,117.45",225,"36,500.00","4,850",3.20,3.35,350,-0.70,3.20,39.89,"32,985","5,283","7,286",
,-,-,-,-,-,-,225,"4,507.50","4,613.60",225,"37,000.00","1,300",3.50,4.35,875,-0.10,4.35,37.46,"52,853",666,"6,783",
,-,-,-,-,-,-,750,"3,978.05","4,181.05",750,"37,500.00",900,3.85,4.15,"1,600",-1.15,3.80,33.11,"77,548","6,989","13,313",
,-,-,-,-,-,-,750,"3,833.45","4,126.15",750,"37,600.00","2,700",3.30,6.00,500,-0.90,4.20,32.75,"11,364",573,855,
,-,-,-,-,-,-,750,"3,731.75","4,026.10",750,"37,700.00",25,3.00,5.30,50,-1.00,4.40,32.17,"9,277",545,711,
,-,-,-,-,-,-,750,"3,683.25","3,921.55",750,"37,800.00","3,975",3.50,6.00,175,-1.95,3.50,30.56,"9,114",756,"1,117",
,-,-,-,-,-,-,750,"3,532.50","3,827.90",750,"37,900.00",850,4.35,4.80,900,-1.40,4.35,30.61,"12,888","1,124","1,379",
,32,5,8,-,"3,600.00",-10.90,225,"3,516.50","3,673.05",225,"38,000.00","2,175",4.60,4.90,"1,575",-1.30,4.90,30.29,"1,67,887","5,441","29,958",
,-,-,-,-,-,-,750,"3,374.40","3,624.60",750,"38,100.00","5,400",4.10,6.25,750,-1.40,5.15,29.71,"15,118",983,"1,323",
,-,-,-,-,-,-,750,"3,235.90","3,537.00",750,"38,200.00","5,000",3.35,8.05,50,-1.40,5.15,28.93,"23,646","1,438","2,320",
,-,-,-,-,-,-,750,"3,142.05","3,424.95",750,"38,300.00",300,5.55,5.70,25,-1.35,5.55,28.43,"15,314",664,"1,144",
,-,-,-,-,-,-,750,"3,042.05","3,323.65",750,"38,400.00",150,5.80,7.60,50,-1.45,5.80,27.81,"21,960",91,"1,209",
,-,-,-,-,-,-,750,"2,995.70","3,170.55",750,"38,500.00","24,050",6.15,6.50,375,-1.05,6.50,27.45,"1,80,685","13,046","29,554",
,3,-,-,-,"2,895.00",-,750,"2,880.45","3,081.65",750,"38,600.00",650,4.80,7.40,25,-1.45,6.60,26.71,"24,902",694,"1,958",
,-,-,-,-,-,-,75,"2,812.80","2,992.00",750,"38,700.00",100,6.25,7.00,250,-1.65,6.95,26.10,"38,427","2,281","3,374",
,1,-,-,-,"2,555.00",-,750,"2,687.90","2,944.50",750,"38,800.00",50,6.55,7.95,50,-1.75,7.35,25.50,"40,274","2,462","4,023",
,1,-,-,-,"2,500.00",-,750,"2,589.00","2,737.60",75,"38,900.00",50,6.00,8.30,325,-3.00,6.70,24.37,"34,432",527,"1,793",
,161,11,51,18.46,"2,624.30",-35.35,225,"2,571.15","2,637.00",75,"39,000.00","1,000",8.10,9.00,"1,550",-2.40,8.10,24.23,"3,00,996","13,072","41,700",
,-,-,-,-,-,-,"1,150","2,395.20","2,579.35",750,"39,100.00",150,8.10,9.50,75,-1.80,9.50,23.98,"39,575",797,"2,394",
,17,10,12,-,"2,380.55",-247.10,"1,275","2,300.65","2,463.85",750,"39,200.00",225,9.00,10.50,500,-3.10,9.00,22.95,"53,528","3,513","6,062",
,6,-,5,-,"2,316.40",-214.30,75,"2,249.25","2,324.70",75,"39,300.00",400,9.05,10.95,175,-2.30,10.95,22.82,"54,958","2,866","5,217",
,6,-,2,-,"2,189.10",-243.40,750,"2,099.15","2,265.20",750,"39,400.00",100,10.55,11.70,25,-2.55,11.95,22.28,"64,418","2,203","6,033",
,215,-19,203,-,"2,096.35",-53.05,75,"2,086.25","2,103.85",50,"39,500.00",25,12.70,12.95,150,-3.30,12.95,21.71,"3,38,114","13,583","46,601",
,27,13,20,-,"1,990.45",-20.80,125,"1,986.10","2,004.50",75,"39,600.00",800,12.05,13.90,"18,950",-3.65,13.90,21.09,"89,081","2,678","7,342",
,64,1,10,-,"1,899.75",-26.00,75,"1,814.30","1,923.95",75,"39,700.00",250,14.50,15.55,100,-5.10,14.50,20.36,"93,722","6,397","10,786",
,272,9,327,-,"1,796.40",-81.00,25,"1,718.80","1,840.80",250,"39,800.00",25,14.75,17.00,125,-6.20,15.80,19.77,"1,35,837","-4,194","9,291",
,35,-,3,-,"1,688.95",-64.50,750,"1,611.85","1,785.70",750,"39,900.00","1,300",16.00,19.20,100,-8.75,16.00,18.91,"1,10,427","-2,017","6,089",
,"2,272",169,"2,154",-,"1,602.35",-79.00,875,"1,595.30","1,602.35",25,"40,000.00","2,500",20.50,21.00,"1,325",-8.00,20.55,18.90,"4,61,501","12,006","46,840",
,102,12,66,-,"1,505.75",-30.65,50,"1,498.35","1,513.00",150,"40,100.00",225,22.55,23.20,175,-9.55,22.95,18.36,"1,22,299","3,531","8,691",
,320,117,802,-,"1,413.60",-48.65,25,"1,365.65","1,412.40",100,"40,200.00",400,26.00,27.00,775,-10.75,26.55,17.95,"1,91,589","8,535","16,392",
,442,39,310,-,"1,312.95",-60.30,25,"1,264.05","1,316.70",75,"40,300.00",550,30.50,31.00,375,-11.85,31.00,17.57,"2,00,669","6,497","16,255",
,492,271,550,10.54,"1,228.35",-50.75,100,"1,212.05","1,293.40",750,"40,400.00",825,36.00,36.90,775,-13.35,36.90,17.27,"1,86,136","3,094","9,753",
,"1,688",238,"8,773",-,"1,122.80",-81.20,75,"1,119.15","1,132.90",75,"40,500.00",250,42.25,43.55,475,-15.60,43.35,16.90,"5,61,539","22,785","49,052",
,"1,063",455,"1,875",11.34,"1,036.50",-68.75,25,"1,018.20","1,041.45",50,"40,600.00",150,50.00,51.95,25,-18.70,51.00,16.54,"3,22,171","15,156","24,639",
,817,306,"1,825",11.21,941.05,-89.40,50,937.80,946.50,25,"40,700.00",25,60.25,62.00,175,-20.55,60.20,16.19,"3,46,192","17,344","25,914",
,"1,299",668,"5,444",12.08,855.60,-88.50,225,847.60,861.95,25,"40,800.00",425,73.00,75.00,100,-22.45,73.00,15.99,"4,51,045","15,683","31,031",
,"1,140",545,"12,445",12.82,775.60,-74.80,75,765.40,780.00,75,"40,900.00",25,88.15,91.00,150,-22.05,88.05,15.78,"4,51,201","14,752","22,185",
,"11,592","3,257","1,49,572",12.69,690.00,-92.25,625,690.00,692.00,50,"41,000.00",75,107.00,109.50,325,-19.45,109.05,15.77,"11,08,356","24,246","60,299",
,"2,862","1,431","55,592",13.17,617.55,-88.20,25,610.75,617.55,275,"41,100.00",275,127.45,130.85,25,-22.20,129.15,15.50,"4,55,955","11,226","17,786",
,"6,563","3,654","1,20,429",12.73,535.00,-97.75,25,535.05,540.00,100,"41,200.00",200,154.00,157.25,25,-22.05,155.65,15.40,"6,06,398","13,372","24,293",
,"12,417","7,152","3,35,487",12.78,465.05,-94.60,450,465.00,470.90,25,"41,300.00",50,182.25,186.25,100,-20.95,187.45,15.36,"8,07,483","11,961","24,662",
,"17,967","7,815","7,54,912",12.90,402.00,-89.55,100,402.00,407.00,300,"41,400.00",125,217.55,220.90,25,-24.55,217.55,15.02,"10,50,996","16,712","31,551",
,"95,051","46,509","25,70,279",12.79,340.00,-91.00,"2,650",340.00,345.00,"1,500","41,500.00","1,425",257.60,260.00,100,-18.10,260.00,15.06,"28,94,298","57,173","1,03,859",
,"64,238","38,171","24,57,697",12.80,286.00,-89.55,775,286.00,291.70,275,"41,600.00",25,301.25,306.00,900,-14.85,303.00,14.90,"18,84,710","28,697","43,163",
,"45,172","23,448","15,25,147",12.81,238.00,-85.60,25,238.05,241.00,200,"41,700.00",125,353.35,356.95,25,-4.75,356.35,14.99,"9,74,472","11,794","20,997",
,"31,240","15,146","10,06,140",12.98,199.00,-75.55,25,195.75,200.00,"1,450","41,800.00",175,413.00,414.35,25,-7.60,413.00,15.01,"4,46,034","5,296","8,708",
,"18,751","9,953","6,35,328",13.05,163.25,-66.35,125,158.25,163.10,75,"41,900.00",100,474.00,479.00,425,6.75,477.95,15.20,"1,96,437","4,065","5,218",
,"71,094","26,728","13,90,009",12.97,129.85,-61.25,25,127.05,129.85,25,"42,000.00",25,537.75,549.40,175,18.20,549.40,15.50,"3,18,158","4,044","12,512",
,"25,414","15,119","6,08,202",13.01,103.70,-53.10,25,100.15,103.70,275,"42,100.00",25,613.35,622.90,25,24.45,621.05,15.61,"31,440",731,"1,204",
,"27,815","10,226","6,93,606",12.96,80.40,-48.30,275,78.35,80.40,775,"42,200.00",25,688.35,700.90,25,29.10,695.00,15.63,"15,934",399,"1,292",
,"29,085","15,273","6,05,994",12.88,61.00,-43.45,850,61.00,62.70,50,"42,300.00",50,771.05,783.35,75,26.95,779.40,16.09,"7,781",716,"1,346",
,"26,760","15,564","5,03,731",13.03,48.00,-36.10,250,46.65,48.00,"1,525","42,400.00",200,858.60,863.45,875,45.90,863.45,16.38,"3,737",581,955,
,"64,859","24,872","10,03,511",13.04,36.20,-30.50,625,36.20,37.00,125,"42,500.00",125,945.35,953.00,900,39.90,949.90,16.67,"20,890","-2,264","4,322",
,"23,111","11,182","3,38,097",13.22,28.40,-24.85,25,28.05,28.40,50,"42,600.00",75,"1,037.00","1,095.45",25,44.20,"1,042.00",17.26,"2,001",471,956,
,"19,387","3,934","3,06,735",13.34,21.75,-21.35,200,21.70,22.30,200,"42,700.00",25,"1,091.55","1,143.35",25,37.45,"1,125.70",17.01,654,146,458,
,"19,980","10,125","3,26,778",13.60,17.35,-16.70,50,17.35,18.00,50,"42,800.00",100,"1,225.80","1,300.45",25,15.15,"1,231.00",18.61,269,-,98,
,"16,669","9,245","2,32,047",13.83,13.75,-13.85,225,13.75,14.75,50,"42,900.00",750,"1,281.05","1,402.60",25,93.25,"1,321.85",18.82,146,24,85,
,"70,712","29,493","6,22,833",14.40,12.40,-10.40,25,12.40,12.50,200,"43,000.00",200,"1,420.15","1,430.55",75,61.55,"1,425.00",20.20,"1,846",223,"1,538",
,"8,914","2,552","1,49,562",14.95,11.20,-7.55,25,10.15,11.20,100,"43,100.00",750,"1,470.05","1,546.15",75,-146.25,"1,521.90",20.92,5,2,47,
,"11,590","2,885","1,42,761",15.25,9.25,-6.50,100,7.80,9.25,25,"43,200.00",750,"1,569.65","1,701.15","1,075",-4.20,"1,600.15",19.25,6,3,75,
,"13,255","7,490","1,21,357",15.75,8.30,-5.50,25,6.95,8.45,25,"43,300.00",75,"1,678.60","1,759.00",75,-65.65,"1,734.35",24.30,95,20,58,
,"8,276","2,141","1,13,576",16.15,7.20,-4.90,500,6.25,7.20,675,"43,400.00","1,275","1,729.95","1,893.55","1,175",-72.70,"1,742.30",-,8,4,17,
,"58,968","13,546","4,63,143",16.73,6.75,-4.40,150,6.25,6.75,325,"43,500.00",750,"1,874.50","1,960.70",175,62.15,"1,919.15",24.64,58,12,556,
,"4,931",417,"70,178",16.79,5.15,-4.70,725,5.15,7.00,75,"43,600.00",750,"1,973.55","2,048.25",75,8.15,"2,020.80",25.82,10,10,16,
,"8,647",-984,"59,926",17.04,4.25,-4.50,100,4.30,6.00,975,"43,700.00",750,"2,050.05","2,192.40",525,-34.10,"1,985.90",-,2,1,9,
,"5,969","3,502","46,051",18.49,5.75,-2.45,275,5.25,5.75,50,"43,800.00",750,"2,139.20","2,293.90",475,2.95,"2,213.25",26.76,14,10,15,
,"2,093",-22,"45,503",18.66,4.70,-2.90,50,4.40,8.45,50,"43,900.00",750,"2,249.10","2,389.90",475,-,-,-,-,-,-,
,"81,180","37,509","3,36,386",19.62,5.20,-2.05,"1,200",5.00,5.45,"3,900","44,000.00",200,"2,406.20","2,490.55",25,86.75,"2,435.00",31.43,24,4,288,
,"2,911","1,440","33,957",19.92,4.50,-2.25,750,4.50,5.95,50,"44,100.00",750,"2,439.60","2,620.65",825,-,-,-,-,-,-,
,"3,202","2,391","25,456",20.82,4.90,-1.60,500,4.55,6.10,950,"44,200.00",750,"2,517.05","2,706.35",750,-,-,-,-,-,-,
,"1,732",812,"21,086",21.83,5.50,-0.45,100,4.30,6.00,"3,600","44,300.00",750,"2,645.85","2,783.75",75,-,-,-,-,-,-,
,"1,450","1,263","21,114",21.53,3.90,-1.75,550,3.90,4.80,900,"44,400.00",750,"2,725.25","2,933.10",750,-,-,-,-,-,-,
,"27,921","12,855","1,58,504",22.25,4.00,-1.20,900,3.95,4.00,25,"44,500.00",750,"2,815.90","2,990.60",775,-,"2,706.25",-,-,-,10,
,"1,641",-83,"21,156",22.28,3.20,-1.85,875,3.20,7.00,"1,250","44,600.00",750,"2,926.50","3,096.55",75,-,-,-,-,-,-,
,493,3,"9,570",22.91,3.20,-1.70,825,3.20,5.00,25,"44,700.00",750,"3,022.05","3,192.40",75,-,-,-,-,-,-,
,917,328,"24,321",24.19,4.00,-0.95,875,3.10,4.00,450,"44,800.00",750,"3,105.75","3,312.00",750,-,-,-,-,-,-,
,"30,192","11,648","2,07,086",24.83,3.25,-1.30,"15,650",3.25,3.30,"15,275","45,000.00",25,"3,380.35","3,494.05",225,97.70,"3,410.00",37.04,4,2,31,
,"5,226",663,"42,196",27.70,3.05,-0.85,400,3.05,3.10,"7,800","45,500.00",750,"3,806.15","3,988.85",225,-,-,-,-,-,-,
,"6,357","1,816","43,360",30.62,3.00,-0.70,750,2.90,3.00,"10,200","46,000.00","1,400","4,311.75","4,495.40",650,-,-,-,-,-,-,
,"3,956","1,660","23,550",32.95,2.55,-0.85,"6,875",2.55,2.60,"9,250","46,500.00",750,"4,820.45","4,994.80",650,-,-,-,-,-,-,
,"5,969",900,"42,686",35.54,2.40,-0.90,"1,325",2.40,2.45,"17,475","47,000.00",750,"5,305.90","5,494.60",225,-,-,-,-,-,-,
,"5,990","1,983","38,762",38.12,2.30,-0.90,"13,975",2.30,2.35,900,"47,500.00",750,"5,821.35","5,988.25",225,-,-,-,-,-,-,
,"47,992","21,598","2,06,122",40.72,2.25,-0.80,"53,550",2.20,2.25,"14,825","48,000.00",750,"6,305.50","6,493.95",550,-,-,-,-,-,-,
